,,precision,precision,recall_class_accuracy,recall_class_accuracy,f1,f1,support,support
,,mean,std,mean,std,mean,std,mean,std
version,class,,,,,,,,
NoReservoir,negative,0.9264415205815931,0.0051486725058477395,0.5903550609432963,0.02642810310501682,0.7208756319208289,0.01832631230907414,1887.0,0.0
NoReservoir,positive,0.30344189697038004,0.007248977561005302,0.7913725490196079,0.024490188229013346,0.438507720762378,0.004191915486223285,425.0,0.0
Reservoir,negative,0.9116891925115721,0.008310824437676211,0.6424659954071719,0.040126538391098955,0.7531450266246477,0.024389026593744575,1887.0,0.0
Reservoir,positive,0.31344967695958276,0.011274163123711581,0.7223529411764705,0.04634756612609936,0.4365749687733842,0.0032506112637168127,425.0,0.0
