version,accuracy,macro_f1,weighted_f1,positive_precision,positive_recall,negative_recall,fpr,pred_positive_rate,TN,FP,FN,TP
NoReservoir,0.627 +/- 0.017,0.580 +/- 0.011,0.669 +/- 0.016,0.303 +/- 0.007,0.791 +/- 0.024,0.590 +/- 0.026,0.410 +/- 0.026,0.480 +/- 0.026,1114.0 +/- 49.9,773.0 +/- 49.9,88.7 +/- 10.4,336.3 +/- 10.4
Reservoir,0.657 +/- 0.024,0.595 +/- 0.013,0.695 +/- 0.020,0.313 +/- 0.011,0.722 +/- 0.046,0.642 +/- 0.040,0.358 +/- 0.040,0.425 +/- 0.041,1212.3 +/- 75.7,674.7 +/- 75.7,118.0 +/- 19.7,307.0 +/- 19.7
