version,seed,test_rows,accuracy,macro_f1,weighted_f1,positive_precision,positive_recall,negative_recall,fpr,pred_positive_rate,TN,FP,FN,TP
NoReservoir,42,2312,0.6094290657439446,0.5683798241669639,0.6525509197988655,0.29642248722316866,0.8188235294117647,0.5622681505034446,0.43773184949655536,0.5077854671280276,1061,826,77,348
Reservoir,42,2312,0.6410034602076125,0.5870049551829699,0.6814377474629071,0.3073263558515699,0.76,0.6142024377318495,0.3857975622681505,0.4545847750865052,1159,728,102,323
NoReservoir,69,2312,0.643598615916955,0.5905783646241662,0.6837461619679851,0.3109004739336493,0.7717647058823529,0.6147323794382618,0.3852676205617382,0.4563148788927336,1160,727,97,328
Reservoir,69,2312,0.6851211072664359,0.6101277973328688,0.7182542461719962,0.32646048109965636,0.6705882352941176,0.6883942766295708,0.31160572337042924,0.37759515570934254,1299,588,140,285
NoReservoir,123,2312,0.6288927335640139,0.5801168402336805,0.6706122159303142,0.30300272975432213,0.7835294117647059,0.5940646528881823,0.4059353471118177,0.47534602076124566,1121,766,92,333
Reservoir,123,2312,0.6453287197231834,0.5874472405812088,0.685164010218122,0.30656219392752204,0.7364705882352941,0.6248012718600954,0.3751987281399046,0.4416089965397924,1179,708,112,313
